;n_nodes;n_edges;n_node_attrs;n_edge_attrs;hidden_dim;batch_size;proc_time
0;50;50;5;5;64;1;0.048210699926130474
1;50;50;5;5;64;16;0.09618529991712421
2;50;50;5;5;64;64;0.2563357000472024
3;50;50;5;5;256;1;0.05582679994404316
4;50;50;5;5;256;16;0.1265674999449402
5;50;50;5;5;256;64;0.3115123000461608
6;50;50;5;5;512;1;0.06859699997585267
7;50;50;5;5;512;16;0.13352209993172437
8;50;50;5;5;512;64;0.3105235999682918
9;50;50;5;10;64;1;0.04202259995508939
10;50;50;5;10;64;16;0.10353879991453141
11;50;50;5;10;64;64;0.2788795999949798
12;50;50;5;10;256;1;0.053522199974395335
13;50;50;5;10;256;16;0.11518169997725636
14;50;50;5;10;256;64;0.29108560003805906
15;50;50;5;10;512;1;0.0722867000149563
16;50;50;5;10;512;16;0.14071129995863885
17;50;50;5;10;512;64;0.3196168999420479
18;50;50;5;50;64;1;0.040983199956826866
19;50;50;5;50;64;16;0.1029528999933973
20;50;50;5;50;64;64;0.24694750003982335
21;50;50;5;50;256;1;0.06108370004221797
22;50;50;5;50;256;16;0.11854289995972067
23;50;50;5;50;256;64;0.27460600004997104
24;50;50;5;50;512;1;0.05828419991303235
25;50;50;5;50;512;16;0.11462849995587021
26;50;50;5;50;512;64;0.29535589995794
27;50;50;10;5;64;1;0.04362679994665086
28;50;50;10;5;64;16;0.09720109996851534
29;50;50;10;5;64;64;0.2626931000268087
30;50;50;10;5;256;1;0.04401960002724081
31;50;50;10;5;256;16;0.11650640005245805
32;50;50;10;5;256;64;0.28611650003585964
33;50;50;10;5;512;1;0.060648899991065264
34;50;50;10;5;512;16;0.11370969994459301
35;50;50;10;5;512;64;0.28004280000459403
36;50;50;10;10;64;1;0.04506589996162802
37;50;50;10;10;64;16;0.1052245000610128
38;50;50;10;10;64;64;0.2560215999837965
39;50;50;10;10;256;1;0.04547070001717657
40;50;50;10;10;256;16;0.1003276000265032
41;50;50;10;10;256;64;0.27419459994416684
42;50;50;10;10;512;1;0.0696461999323219
43;50;50;10;10;512;16;0.10972229996696115
44;50;50;10;10;512;64;0.2567633999278769
45;50;50;10;50;64;1;0.041257399949245155
46;50;50;10;50;64;16;0.08923279994633049
47;50;50;10;50;64;64;0.22890710004139692
48;50;50;10;50;256;1;0.04468029993586242
49;50;50;10;50;256;16;0.08859279996249825
50;50;50;10;50;256;64;0.2440466999541968
51;50;50;10;50;512;1;0.05551109998486936
52;50;50;10;50;512;16;0.10665730002801865
53;50;50;10;50;512;64;0.2700651000486687
54;50;50;50;5;64;1;0.03740610007662326
