Algorithm;TryNr;InstanceNr;FitnessWorkload;FitnessDeadline;RandomSeed;BestChromosome
nsga2;0;0;0.5278531599633488;-1156.0;247288;"['job48' 'job44' 'job27' 'job38' 'job40' 'job10' 'job42' 'job26' 'job16'
 'job20' 'job8' 'job41' 'job49' 'job19' 'job5' 'job18' 'job50' 'job47'
 'job4' 'job30' 'job1' 'job37' 'job12' 'job36' 'job24' 'job3' 'job22'
 'job43' 'job23' 'job25' 'job51' 'job11' 'job14' 'job52' 'job46' 'job34'
 'job31' 'job35' 'job33' 'job2' 'job21' 'job45' 'job39' 'job0' 'job9'
 'job29' 'job17' 'job6' 'job15' 'job28' 'job13' 'job32' 'job7']"
nsga2;1;0;0.4700786373939044;-1103.0;13839;"['job39' 'job0' 'job19' 'job9' 'job14' 'job37' 'job15' 'job16' 'job34'
 'job41' 'job13' 'job26' 'job4' 'job12' 'job49' 'job28' 'job27' 'job29'
 'job35' 'job11' 'job32' 'job24' 'job31' 'job40' 'job18' 'job48' 'job52'
 'job10' 'job50' 'job20' 'job30' 'job42' 'job38' 'job5' 'job7' 'job33'
 'job45' 'job44' 'job2' 'job46' 'job22' 'job23' 'job17' 'job43' 'job8'
 'job21' 'job51' 'job47' 'job6' 'job3' 'job25' 'job36' 'job1']"
nsga2;2;0;0.49270182291666664;-1111.0;264139;"['job3' 'job30' 'job7' 'job23' 'job2' 'job22' 'job34' 'job12' 'job29'
 'job20' 'job18' 'job27' 'job46' 'job10' 'job21' 'job43' 'job52' 'job50'
 'job44' 'job39' 'job25' 'job37' 'job41' 'job6' 'job8' 'job47' 'job38'
 'job9' 'job13' 'job51' 'job16' 'job31' 'job49' 'job0' 'job32' 'job4'
 'job19' 'job42' 'job15' 'job11' 'job33' 'job1' 'job48' 'job35' 'job45'
 'job36' 'job5' 'job26' 'job24' 'job40' 'job28' 'job17' 'job14']"
nsga2;3;0;0.4872626109182099;-1140.0;178446;"['job11' 'job40' 'job36' 'job12' 'job50' 'job43' 'job35' 'job8' 'job28'
 'job7' 'job46' 'job41' 'job32' 'job15' 'job37' 'job23' 'job39' 'job26'
 'job16' 'job48' 'job44' 'job22' 'job49' 'job4' 'job3' 'job21' 'job10'
 'job13' 'job1' 'job51' 'job45' 'job52' 'job42' 'job25' 'job34' 'job0'
 'job17' 'job2' 'job24' 'job20' 'job19' 'job6' 'job29' 'job18' 'job33'
 'job5' 'job9' 'job30' 'job31' 'job38' 'job47' 'job14' 'job27']"
nsga2;4;0;0.5230784927179783;-1138.0;57414;"['job19' 'job32' 'job9' 'job51' 'job30' 'job27' 'job15' 'job29' 'job42'
 'job22' 'job6' 'job25' 'job17' 'job1' 'job4' 'job50' 'job8' 'job28'
 'job52' 'job10' 'job0' 'job39' 'job37' 'job20' 'job14' 'job24' 'job7'
 'job36' 'job21' 'job33' 'job38' 'job45' 'job12' 'job43' 'job35' 'job2'
 'job23' 'job3' 'job26' 'job47' 'job48' 'job5' 'job13' 'job49' 'job44'
 'job16' 'job40' 'job41' 'job18' 'job31' 'job46' 'job11' 'job34']"
nsga2;5;0;0.5059235448013119;-1140.0;100117;"['job51' 'job10' 'job32' 'job13' 'job11' 'job17' 'job45' 'job20' 'job27'
 'job15' 'job14' 'job29' 'job4' 'job50' 'job28' 'job33' 'job36' 'job18'
 'job48' 'job24' 'job38' 'job25' 'job9' 'job26' 'job46' 'job6' 'job31'
 'job42' 'job34' 'job2' 'job52' 'job8' 'job0' 'job47' 'job41' 'job44'
 'job43' 'job22' 'job3' 'job39' 'job5' 'job49' 'job12' 'job19' 'job37'
 'job23' 'job7' 'job40' 'job1' 'job16' 'job35' 'job21' 'job30']"
nsga2;6;0;0.42582272376543207;-1111.0;119264;"['job13' 'job29' 'job5' 'job38' 'job33' 'job41' 'job34' 'job6' 'job52'
 'job10' 'job8' 'job15' 'job23' 'job32' 'job19' 'job9' 'job46' 'job43'
 'job7' 'job2' 'job25' 'job3' 'job50' 'job44' 'job28' 'job11' 'job42'
 'job0' 'job24' 'job31' 'job4' 'job20' 'job40' 'job39' 'job47' 'job27'
 'job18' 'job21' 'job48' 'job45' 'job17' 'job14' 'job35' 'job37' 'job22'
 'job51' 'job12' 'job1' 'job26' 'job36' 'job30' 'job16' 'job49']"
nsga2;7;0;0.4985202365451389;-1152.0;231797;"['job2' 'job4' 'job23' 'job15' 'job51' 'job48' 'job36' 'job5' 'job9'
 'job21' 'job8' 'job25' 'job40' 'job24' 'job45' 'job50' 'job19' 'job14'
 'job0' 'job13' 'job32' 'job1' 'job33' 'job49' 'job12' 'job38' 'job7'
 'job37' 'job29' 'job22' 'job30' 'job17' 'job44' 'job35' 'job42' 'job20'
 'job41' 'job18' 'job39' 'job11' 'job28' 'job16' 'job6' 'job27' 'job26'
 'job3' 'job52' 'job43' 'job31' 'job47' 'job10' 'job46' 'job34']"
nsga2;8;0;0.5072372926311729;-1138.0;393958;"['job33' 'job32' 'job21' 'job16' 'job11' 'job20' 'job26' 'job45' 'job47'
 'job41' 'job18' 'job43' 'job3' 'job22' 'job48' 'job15' 'job1' 'job25'
 'job9' 'job13' 'job50' 'job14' 'job23' 'job52' 'job39' 'job51' 'job19'
 'job31' 'job36' 'job40' 'job34' 'job2' 'job12' 'job24' 'job46' 'job44'
 'job4' 'job0' 'job10' 'job37' 'job8' 'job17' 'job30' 'job38' 'job6'
 'job5' 'job7' 'job29' 'job28' 'job49' 'job42' 'job35' 'job27']"
nsga2;9;0;0.5205555555555557;-1140.0;426494;"['job50' 'job2' 'job19' 'job0' 'job14' 'job32' 'job25' 'job10' 'job11'
 'job5' 'job29' 'job15' 'job8' 'job47' 'job4' 'job51' 'job22' 'job33'
 'job41' 'job34' 'job23' 'job18' 'job43' 'job20' 'job1' 'job12' 'job38'
 'job16' 'job13' 'job48' 'job3' 'job36' 'job27' 'job44' 'job21' 'job28'
 'job24' 'job45' 'job39' 'job37' 'job26' 'job42' 'job49' 'job6' 'job30'
 'job52' 'job9' 'job40' 'job31' 'job17' 'job7' 'job46' 'job35']"
