;Unnamed: 0.4;Unnamed: 0.3;Unnamed: 0.2;Unnamed: 0.1;Unnamed: 0;AdaptationMode;Problem;Instance;TryNr;RDMSeed;MinValue
0;0.0;0.0;0.0;0.0;0.0;rl;CEC;f24;0;124;2927.375343224445
1;1.0;1.0;1.0;1.0;1.0;rl;CEC;f24;1;125;2968.3325290469866
2;2.0;2.0;2.0;2.0;2.0;rl;CEC;f24;2;126;2921.287748243477
3;3.0;3.0;3.0;3.0;3.0;rl;CEC;f24;3;127;2968.7742543394847
4;4.0;4.0;4.0;4.0;4.0;rl;CEC;f24;4;128;2939.853715089401
5;5.0;5.0;5.0;5.0;5.0;rl;CEC;f24;5;129;2980.904570034283
6;6.0;6.0;6.0;6.0;6.0;rl;CEC;f24;6;130;2914.898095194596
7;7.0;7.0;7.0;7.0;7.0;rl;CEC;f24;7;131;2977.5561234340016
8;8.0;8.0;8.0;8.0;8.0;rl;CEC;f24;8;132;2970.119350116905
9;9.0;9.0;9.0;9.0;9.0;rl;CEC;f24;9;133;2922.5060117326416
10;10.0;10.0;10.0;10.0;10.0;rl;CEC;f24;10;134;2936.236382043201
11;11.0;11.0;11.0;11.0;11.0;rl;CEC;f24;11;135;2955.4116682049457
12;12.0;12.0;12.0;12.0;12.0;rl;CEC;f24;12;136;2945.407203276808
13;13.0;13.0;13.0;13.0;13.0;rl;CEC;f24;13;137;2962.6566971604043
14;14.0;14.0;14.0;14.0;14.0;rl;CEC;f24;14;138;2945.2588308953173
15;15.0;15.0;15.0;15.0;15.0;rl;CEC;f24;15;139;2910.057673039836
16;16.0;16.0;16.0;16.0;16.0;rl;CEC;f24;16;140;2961.166882270053
17;17.0;17.0;17.0;17.0;17.0;rl;CEC;f24;17;141;2975.986573171404
18;18.0;18.0;18.0;18.0;18.0;rl;CEC;f24;18;142;2935.504883656546
19;19.0;19.0;19.0;19.0;19.0;rl;CEC;f24;19;143;2930.538854682969
20;20.0;20.0;20.0;20.0;20.0;rl;CEC;f24;20;144;2953.9735883074136
21;21.0;21.0;21.0;21.0;21.0;rl;CEC;f24;21;145;2923.7915060665823
22;22.0;22.0;22.0;22.0;22.0;rl;CEC;f24;22;146;2939.308244309112
23;23.0;23.0;23.0;23.0;23.0;rl;CEC;f24;23;147;2959.390883015464
24;24.0;24.0;24.0;24.0;24.0;rl;CEC;f24;24;148;2940.980916851122
25;25.0;25.0;25.0;25.0;25.0;rl;CEC;f24;25;149;2978.924002364589
26;26.0;26.0;26.0;26.0;26.0;rl;CEC;f24;26;150;2939.305096878871
27;27.0;27.0;27.0;27.0;27.0;rl;CEC;f24;27;151;2955.56462067825
28;28.0;28.0;28.0;28.0;28.0;rl;CEC;f24;28;152;2968.783564510497
29;29.0;29.0;29.0;29.0;29.0;rl;CEC;f24;29;153;2947.5965186033145
30;30.0;30.0;30.0;30.0;30.0;none;CEC;f24;0;154;2913.292598405506
31;31.0;31.0;31.0;31.0;31.0;none;CEC;f24;1;155;2932.056871320002
32;32.0;32.0;32.0;32.0;32.0;none;CEC;f24;2;156;2945.777673789251
33;33.0;33.0;33.0;33.0;33.0;none;CEC;f24;3;157;2938.7031006639395
34;34.0;34.0;34.0;34.0;34.0;none;CEC;f24;4;158;2946.4396606031714
35;35.0;35.0;35.0;35.0;35.0;none;CEC;f24;5;159;2928.5219025038896
36;36.0;36.0;36.0;36.0;36.0;none;CEC;f24;6;160;2973.052031650498
37;37.0;37.0;37.0;37.0;37.0;none;CEC;f24;7;161;3024.68733980023
38;38.0;38.0;38.0;38.0;38.0;none;CEC;f24;8;162;2924.2719703045045
39;39.0;39.0;39.0;39.0;39.0;none;CEC;f24;9;163;2903.143918680145
40;40.0;40.0;40.0;40.0;40.0;none;CEC;f24;10;164;2914.384088873344
41;41.0;41.0;41.0;41.0;41.0;none;CEC;f24;11;165;2902.34321134144
42;42.0;42.0;42.0;42.0;42.0;none;CEC;f24;12;166;2957.0466716480587
43;43.0;43.0;43.0;43.0;43.0;none;CEC;f24;13;167;2956.4358531602074
44;44.0;44.0;44.0;44.0;44.0;none;CEC;f24;14;168;2913.338250232555
45;45.0;45.0;45.0;45.0;45.0;none;CEC;f24;15;169;2936.851895664162
46;46.0;46.0;46.0;46.0;46.0;none;CEC;f24;16;170;2933.1954771086507
47;47.0;47.0;47.0;47.0;47.0;none;CEC;f24;17;171;2981.29796415679
48;48.0;48.0;48.0;48.0;48.0;none;CEC;f24;18;172;2927.276657414772
49;49.0;49.0;49.0;49.0;49.0;none;CEC;f24;19;173;2939.019203187657
50;50.0;50.0;50.0;50.0;50.0;none;CEC;f24;20;174;2963.7178541049675
51;51.0;51.0;51.0;51.0;51.0;none;CEC;f24;21;175;2941.654675657423
52;52.0;52.0;52.0;52.0;52.0;none;CEC;f24;22;176;2976.021634171597
53;53.0;53.0;53.0;53.0;53.0;none;CEC;f24;23;177;2940.2507065695268
54;54.0;54.0;54.0;54.0;54.0;none;CEC;f24;24;178;2973.497417151116
55;55.0;55.0;55.0;55.0;55.0;none;CEC;f24;25;179;2952.6704061900805
56;56.0;56.0;56.0;56.0;56.0;none;CEC;f24;26;180;2908.5375811686827
57;57.0;57.0;57.0;57.0;57.0;none;CEC;f24;27;181;2911.71281340956
58;58.0;58.0;58.0;58.0;58.0;none;CEC;f24;28;182;2981.8518810356945
59;59.0;59.0;59.0;59.0;59.0;none;CEC;f24;29;183;2975.7316905578546
60;60.0;60.0;60.0;60.0;60.0;imdc;CEC;f24;0;184;2988.4807973158204
61;61.0;61.0;61.0;61.0;61.0;imdc;CEC;f24;1;185;2907.9565536031146
62;62.0;62.0;62.0;62.0;62.0;imdc;CEC;f24;2;186;2915.017452396556
63;63.0;63.0;63.0;63.0;63.0;imdc;CEC;f24;3;187;2934.910614126865
64;64.0;64.0;64.0;64.0;64.0;imdc;CEC;f24;4;188;2968.0245428197686
65;65.0;65.0;65.0;65.0;65.0;imdc;CEC;f24;5;189;2938.66935932878
66;66.0;66.0;66.0;66.0;66.0;imdc;CEC;f24;6;190;2944.5903295073167
67;67.0;67.0;67.0;67.0;67.0;imdc;CEC;f24;7;191;2964.947484306578
68;68.0;68.0;68.0;68.0;68.0;imdc;CEC;f24;8;192;2979.3314868580883
69;69.0;69.0;69.0;69.0;69.0;imdc;CEC;f24;9;193;2925.915909739288
70;70.0;70.0;70.0;70.0;70.0;imdc;CEC;f24;10;194;2922.122569289846
71;71.0;71.0;71.0;71.0;71.0;imdc;CEC;f24;11;195;2943.04161884598
72;72.0;72.0;72.0;72.0;72.0;imdc;CEC;f24;12;196;2934.0545899349545
73;73.0;73.0;73.0;73.0;73.0;imdc;CEC;f24;13;197;2963.628630083645
74;74.0;74.0;74.0;74.0;74.0;imdc;CEC;f24;14;198;2929.0183783367893
75;75.0;75.0;75.0;75.0;75.0;imdc;CEC;f24;15;199;2920.5830420018824
76;76.0;76.0;76.0;76.0;76.0;imdc;CEC;f24;16;200;2935.499194930397
77;77.0;77.0;77.0;77.0;77.0;imdc;CEC;f24;17;201;2950.401642196672
78;78.0;78.0;78.0;78.0;78.0;imdc;CEC;f24;18;202;2926.9101289853083
79;79.0;79.0;79.0;79.0;79.0;imdc;CEC;f24;19;203;2947.40732948652
80;80.0;80.0;80.0;80.0;80.0;imdc;CEC;f24;20;204;2898.0135619802813
81;81.0;81.0;81.0;81.0;81.0;imdc;CEC;f24;21;205;2963.1231044295314
82;82.0;82.0;82.0;82.0;82.0;imdc;CEC;f24;22;206;2941.942731583582
83;83.0;83.0;83.0;83.0;83.0;imdc;CEC;f24;23;207;2921.624280794287
84;84.0;84.0;84.0;84.0;84.0;imdc;CEC;f24;24;208;2920.4509311018323
85;85.0;85.0;85.0;85.0;85.0;imdc;CEC;f24;25;209;2963.697746922233
86;86.0;86.0;86.0;86.0;86.0;imdc;CEC;f24;26;210;2917.824474949286
87;87.0;87.0;87.0;87.0;87.0;imdc;CEC;f24;27;211;2942.8793708298763
88;88.0;88.0;88.0;88.0;88.0;imdc;CEC;f24;28;212;2983.190717191482
89;89.0;89.0;89.0;89.0;89.0;imdc;CEC;f24;29;213;2966.09832400089
90;90.0;90.0;90.0;90.0;90.0;icdm;CEC;f24;0;214;3159.0569465062404
91;91.0;91.0;91.0;91.0;91.0;icdm;CEC;f24;1;215;3007.178403292585
92;92.0;92.0;92.0;92.0;92.0;icdm;CEC;f24;2;216;3119.896776021228
93;93.0;93.0;93.0;93.0;93.0;icdm;CEC;f24;3;217;3094.5739170893235
94;94.0;94.0;94.0;94.0;94.0;icdm;CEC;f24;4;218;3038.4795236746727
95;95.0;95.0;95.0;95.0;95.0;icdm;CEC;f24;5;219;3003.7294978361942
96;96.0;96.0;96.0;96.0;96.0;icdm;CEC;f24;6;220;3082.753536849843
97;97.0;97.0;97.0;97.0;97.0;icdm;CEC;f24;7;221;3290.610709471718
98;98.0;98.0;98.0;98.0;98.0;icdm;CEC;f24;8;222;3235.920342797818
99;99.0;99.0;99.0;99.0;99.0;icdm;CEC;f24;9;223;3185.8765523750403
100;100.0;100.0;100.0;100.0;100.0;icdm;CEC;f24;10;224;3133.3680455000385
101;101.0;101.0;101.0;101.0;101.0;icdm;CEC;f24;11;225;3327.42518741641
102;102.0;102.0;102.0;102.0;102.0;icdm;CEC;f24;12;226;3047.651107864485
103;103.0;103.0;103.0;103.0;103.0;icdm;CEC;f24;13;227;3077.213342883921
104;104.0;104.0;104.0;104.0;104.0;icdm;CEC;f24;14;228;3086.65848743202
105;105.0;105.0;105.0;105.0;105.0;icdm;CEC;f24;15;229;3133.2354179566983
106;106.0;106.0;106.0;106.0;106.0;icdm;CEC;f24;16;230;3067.0433731090743
107;107.0;107.0;107.0;107.0;107.0;icdm;CEC;f24;17;231;3293.5960359325254
108;108.0;108.0;108.0;108.0;108.0;icdm;CEC;f24;18;232;3121.698959985107
109;109.0;109.0;109.0;109.0;109.0;icdm;CEC;f24;19;233;3212.556889989482
110;110.0;110.0;110.0;110.0;110.0;icdm;CEC;f24;20;234;3115.0887303371383
111;111.0;111.0;111.0;111.0;111.0;icdm;CEC;f24;21;235;3134.7326185403685
112;112.0;112.0;112.0;112.0;112.0;icdm;CEC;f24;22;236;3024.444433158509
113;113.0;113.0;113.0;113.0;113.0;icdm;CEC;f24;23;237;3090.0101726439007
114;114.0;114.0;114.0;114.0;114.0;icdm;CEC;f24;24;238;3240.8480537543355
115;115.0;115.0;115.0;115.0;115.0;icdm;CEC;f24;25;239;3137.184506009631
116;116.0;116.0;116.0;116.0;116.0;icdm;CEC;f24;26;240;3177.147260384076
117;117.0;117.0;117.0;117.0;117.0;icdm;CEC;f24;27;241;3081.664117089237
118;118.0;118.0;118.0;118.0;118.0;icdm;CEC;f24;28;242;3108.195876850586
119;119.0;119.0;119.0;119.0;119.0;icdm;CEC;f24;29;243;3171.6279619210327
120;120.0;120.0;120.0;120.0;;rl;CEC;f27;0;124;3242.4741133965376
121;121.0;121.0;121.0;121.0;;rl;CEC;f27;1;125;3291.236791987698
122;122.0;122.0;122.0;122.0;;rl;CEC;f27;2;126;3241.5306070814786
123;123.0;123.0;123.0;123.0;;rl;CEC;f27;3;127;3283.2156053830417
124;124.0;124.0;124.0;124.0;;rl;CEC;f27;4;128;3253.54043179067
125;125.0;125.0;125.0;125.0;;rl;CEC;f27;5;129;3259.556635052427
126;126.0;126.0;126.0;126.0;;rl;CEC;f27;6;130;3273.382101980448
127;127.0;127.0;127.0;127.0;;rl;CEC;f27;7;131;3274.05943599475
128;128.0;128.0;128.0;128.0;;rl;CEC;f27;8;132;3275.6042052176454
129;129.0;129.0;129.0;129.0;;rl;CEC;f27;9;133;3265.578852559945
130;130.0;130.0;130.0;130.0;;rl;CEC;f27;10;134;3258.3382584827805
131;131.0;131.0;131.0;131.0;;rl;CEC;f27;11;135;3302.7840993964573
132;132.0;132.0;132.0;132.0;;rl;CEC;f27;12;136;3237.9509914322407
133;133.0;133.0;133.0;133.0;;rl;CEC;f27;13;137;3267.9699833152586
134;134.0;134.0;134.0;134.0;;rl;CEC;f27;14;138;3274.6522764500096
135;135.0;135.0;135.0;135.0;;rl;CEC;f27;15;139;3284.755107353946
136;136.0;136.0;136.0;136.0;;rl;CEC;f27;16;140;3264.536790819092
137;137.0;137.0;137.0;137.0;;rl;CEC;f27;17;141;3262.752090634144
138;138.0;138.0;138.0;138.0;;rl;CEC;f27;18;142;3255.353932583457
139;139.0;139.0;139.0;139.0;;rl;CEC;f27;19;143;3295.2266379052608
140;140.0;140.0;140.0;140.0;;rl;CEC;f27;20;144;3265.37949164397
141;141.0;141.0;141.0;141.0;;rl;CEC;f27;21;145;3271.3990538145927
142;142.0;142.0;142.0;142.0;;rl;CEC;f27;22;146;3252.018797222221
143;143.0;143.0;143.0;143.0;;rl;CEC;f27;23;147;3256.379571518834
144;144.0;144.0;144.0;144.0;;rl;CEC;f27;24;148;3263.696727423717
145;145.0;145.0;145.0;145.0;;rl;CEC;f27;25;149;3256.4729519561333
146;146.0;146.0;146.0;146.0;;rl;CEC;f27;26;150;3292.036099840884
147;147.0;147.0;147.0;147.0;;rl;CEC;f27;27;151;3276.033830101125
148;148.0;148.0;148.0;148.0;;rl;CEC;f27;28;152;3266.264894651481
149;149.0;149.0;149.0;149.0;;rl;CEC;f27;29;153;3252.531998512872
150;150.0;150.0;150.0;150.0;;none;CEC;f27;0;154;3248.561209236765
151;151.0;151.0;151.0;151.0;;none;CEC;f27;1;155;3269.6327220397
152;152.0;152.0;152.0;152.0;;none;CEC;f27;2;156;3246.724148525273
153;153.0;153.0;153.0;153.0;;none;CEC;f27;3;157;3260.645784638515
154;154.0;154.0;154.0;154.0;;none;CEC;f27;4;158;3267.363715255259
155;155.0;155.0;155.0;155.0;;none;CEC;f27;5;159;3258.55167087142
156;156.0;156.0;156.0;156.0;;none;CEC;f27;6;160;3269.759092369736
157;157.0;157.0;157.0;157.0;;none;CEC;f27;7;161;3289.543780301393
158;158.0;158.0;158.0;158.0;;none;CEC;f27;8;162;3240.4721013171948
159;159.0;159.0;159.0;159.0;;none;CEC;f27;9;163;3253.3573445461475
160;160.0;160.0;160.0;160.0;;none;CEC;f27;10;164;3249.368548073993
161;161.0;161.0;161.0;161.0;;none;CEC;f27;11;165;3276.7640833885907
162;162.0;162.0;162.0;162.0;;none;CEC;f27;12;166;3240.908493958321
163;163.0;163.0;163.0;163.0;;none;CEC;f27;13;167;3257.46082465816
164;164.0;164.0;164.0;164.0;;none;CEC;f27;14;168;3265.765789010517
165;165.0;165.0;165.0;165.0;;none;CEC;f27;15;169;3257.704034664658
166;166.0;166.0;166.0;166.0;;none;CEC;f27;16;170;3255.8014616748465
167;167.0;167.0;167.0;167.0;;none;CEC;f27;17;171;3245.510435843111
168;168.0;168.0;168.0;168.0;;none;CEC;f27;18;172;3276.355654752556
169;169.0;169.0;169.0;169.0;;none;CEC;f27;19;173;3267.919287500655
170;170.0;170.0;170.0;170.0;;none;CEC;f27;20;174;3249.9188940453214
171;171.0;171.0;171.0;171.0;;none;CEC;f27;21;175;3273.0013882759463
172;172.0;172.0;172.0;172.0;;none;CEC;f27;22;176;3272.706989184672
173;173.0;173.0;173.0;173.0;;none;CEC;f27;23;177;3274.017347653403
174;174.0;174.0;174.0;174.0;;none;CEC;f27;24;178;3251.399184913492
175;175.0;175.0;175.0;175.0;;none;CEC;f27;25;179;3249.0386736234123
176;176.0;176.0;176.0;176.0;;none;CEC;f27;26;180;3235.490974550657
177;177.0;177.0;177.0;177.0;;none;CEC;f27;27;181;3313.593193810796
178;178.0;178.0;178.0;178.0;;none;CEC;f27;28;182;3251.7393552278413
179;179.0;179.0;179.0;179.0;;none;CEC;f27;29;183;3281.208857283362
180;180.0;180.0;180.0;180.0;;imdc;CEC;f27;0;184;3274.089894581658
181;181.0;181.0;181.0;181.0;;imdc;CEC;f27;1;185;3267.573851986951
182;182.0;182.0;182.0;182.0;;imdc;CEC;f27;2;186;3285.2859679277626
183;183.0;183.0;183.0;183.0;;imdc;CEC;f27;3;187;3278.0730816462647
184;184.0;184.0;184.0;184.0;;imdc;CEC;f27;4;188;3280.096638239678
185;185.0;185.0;185.0;185.0;;imdc;CEC;f27;5;189;3262.8578812009737
186;186.0;186.0;186.0;186.0;;imdc;CEC;f27;6;190;3256.8152542425605
187;187.0;187.0;187.0;187.0;;imdc;CEC;f27;7;191;3269.2192974688537
188;188.0;188.0;188.0;188.0;;imdc;CEC;f27;8;192;3297.46421566901
189;189.0;189.0;189.0;189.0;;imdc;CEC;f27;9;193;3302.212259794209
190;190.0;190.0;190.0;190.0;;imdc;CEC;f27;10;194;3272.0626253794403
191;191.0;191.0;191.0;191.0;;imdc;CEC;f27;11;195;3282.062621179679
192;192.0;192.0;192.0;192.0;;imdc;CEC;f27;12;196;3246.3959565965483
193;193.0;193.0;193.0;193.0;;imdc;CEC;f27;13;197;3276.408107041867
194;194.0;194.0;194.0;194.0;;imdc;CEC;f27;14;198;3262.3369007643087
195;195.0;195.0;195.0;195.0;;imdc;CEC;f27;15;199;3289.6960560670022
196;196.0;196.0;196.0;196.0;;imdc;CEC;f27;16;200;3278.723641125918
197;197.0;197.0;197.0;197.0;;imdc;CEC;f27;17;201;3276.168232345616
198;198.0;198.0;198.0;198.0;;imdc;CEC;f27;18;202;3277.2127983571813
199;199.0;199.0;199.0;199.0;;imdc;CEC;f27;19;203;3255.906550971541
200;200.0;200.0;200.0;200.0;;imdc;CEC;f27;20;204;3292.8384675554994
201;201.0;201.0;201.0;201.0;;imdc;CEC;f27;21;205;3243.2179892209874
202;202.0;202.0;202.0;202.0;;imdc;CEC;f27;22;206;3264.965061819701
203;203.0;203.0;203.0;203.0;;imdc;CEC;f27;23;207;3263.951863748061
204;204.0;204.0;204.0;204.0;;imdc;CEC;f27;24;208;3269.2167876298554
205;205.0;205.0;205.0;205.0;;imdc;CEC;f27;25;209;3251.6544381417966
206;206.0;206.0;206.0;206.0;;imdc;CEC;f27;26;210;3314.042886529643
207;207.0;207.0;207.0;207.0;;imdc;CEC;f27;27;211;3247.026847977916
208;208.0;208.0;208.0;208.0;;imdc;CEC;f27;28;212;3302.5375109405586
209;209.0;209.0;209.0;209.0;;imdc;CEC;f27;29;213;3259.041541541794
210;210.0;210.0;210.0;210.0;;icdm;CEC;f27;0;214;3423.104357332899
211;211.0;211.0;211.0;211.0;;icdm;CEC;f27;1;215;3482.069538256751
212;212.0;212.0;212.0;212.0;;icdm;CEC;f27;2;216;3354.9532982571
