;_metric;time_this_iter_s;done;timesteps_total;episodes_total;training_iteration;trial_id;experiment_id;date;timestamp;time_total_s;pid;hostname;node_ip;time_since_restore;timesteps_since_restore;iterations_since_restore;warmup_time;config/adaptive_rate_mode;config/alg_name;config/crossover;config/cx_pb;config/eliminate_duplicates;config/functions;config/mut_pb;config/mutation;config/n_evals;config/n_parallelizations;config/obj_weights;config/parallelization_method;config/plot_solution;config/pop_size;config/pressure;config/print_iterations;config/print_results;config/problem_getter;config/sampling;config/seed;logdir
0;59866.0;7.265056610107422;False;;;1;98b2f_00000;27602dd1087544feaf53145f58dc2e86;2023-08-15_12-43-55;1692096235;7.265056610107422;41877;users.cfads.fh-bielefeld.de;10.134.17.12;7.265056610107422;0;1;0.0070719718933105;none;GA;<class 'pymoo.operators.crossover.pntx.SinglePointCrossover'>;0.6;False;['ta033'];0.4;<class 'custom_ga_operators.FlipMutation'>;3000;4;[1];multi_threading;False;50;4;False;False;<class 'permutation_flow_shop_default.PFSSP'>;<pymoo.operators.sampling.rnd.PermutationRandomSampling object at 0x7f1b74121610>;;/home/voll_lu/ray_results/objective_2023-08-15_12-43-34/objective_98b2f_00000_0_crossover=class_pymoo_operators_crossover_pntx_SinglePointCrossover,cx_pb=0.6000,mut_pb=0.4000,pop_size=50_2023-08-15_12-43-40
1;76033.0;1.0696897506713867;False;;;1;98b2f_00001;b07dd69259e64b6ab753911a9c996296;2023-08-15_12-43-55;1692096235;1.0696897506713867;42219;users.cfads.fh-bielefeld.de;10.134.17.12;1.0696897506713867;0;1;0.007002830505371;none;GA;<class 'pymoo.operators.crossover.ux.UniformCrossover'>;0.05;False;['ta033'];0.05;<class 'custom_ga_operators.FlipMutation'>;3000;4;[1];multi_threading;False;10;4;False;False;<class 'permutation_flow_shop_default.PFSSP'>;<pymoo.operators.sampling.rnd.PermutationRandomSampling object at 0x7f1b74121fd0>;;/home/voll_lu/ray_results/objective_2023-08-15_12-43-34/objective_98b2f_00001_1_crossover=class_pymoo_operators_crossover_ux_UniformCrossover,cx_pb=0.0500,mut_pb=0.0500,pop_size=10,press_2023-08-15_12-43-48
2;62563.0;14.141611099243164;False;;;1;98b2f_00002;e896da47faa541abbbb2890dcefd2037;2023-08-15_12-44-14;1692096254;14.141611099243164;42561;users.cfads.fh-bielefeld.de;10.134.17.12;14.141611099243164;0;1;0.0064723491668701;none;GA;<class 'pymoo.operators.crossover.ux.UniformCrossover'>;0.6;False;['ta033'];0.4;<class 'custom_ga_operators.FlipMutation'>;3000;4;[1];multi_threading;False;20;2;False;False;<class 'permutation_flow_shop_default.PFSSP'>;<pymoo.operators.sampling.rnd.PermutationRandomSampling object at 0x7f1b7412e790>;;/home/voll_lu/ray_results/objective_2023-08-15_12-43-34/objective_98b2f_00002_2_crossover=class_pymoo_operators_crossover_ux_UniformCrossover,cx_pb=0.6000,mut_pb=0.4000,pop_size=20,press_2023-08-15_12-43-54
3;60648.0;4.304441213607788;False;;;1;98b2f_00003;6414db1cf2044360a306b010a218985d;2023-08-15_12-44-10;1692096250;4.304441213607788;42846;users.cfads.fh-bielefeld.de;10.134.17.12;4.304441213607788;0;1;0.0066378116607666;none;GA;<class 'pymoo.operators.crossover.pntx.TwoPointCrossover'>;0.95;False;['ta033'];0.6;<class 'custom_ga_operators.FlipMutation'>;3000;4;[1];multi_threading;False;50;4;False;False;<class 'permutation_flow_shop_default.PFSSP'>;<pymoo.operators.sampling.rnd.PermutationRandomSampling object at 0x7f1b7410e670>;;/home/voll_lu/ray_results/objective_2023-08-15_12-43-34/objective_98b2f_00003_3_crossover=class_pymoo_operators_crossover_pntx_TwoPointCrossover,cx_pb=0.9500,mut_pb=0.6000,pop_size=50,pr_2023-08-15_12-44-00
4;61631.0;56.75679874420166;False;;;1;98b2f_00004;3c8d5c6c324e46aab18e32c74128cdac;2023-08-15_12-45-08;1692096308;56.75679874420166;43160;users.cfads.fh-bielefeld.de;10.134.17.12;56.75679874420166;0;1;0.0065178871154785;none;GA;<class 'pymoo.operators.crossover.pntx.SinglePointCrossover'>;0.05;False;['ta033'];0.6;<class 'custom_ga_operators.FlipMutation'>;3000;4;[1];multi_threading;False;50;10;False;False;<class 'permutation_flow_shop_default.PFSSP'>;<pymoo.operators.sampling.rnd.PermutationRandomSampling object at 0x7f1b7412e730>;;/home/voll_lu/ray_results/objective_2023-08-15_12-43-34/objective_98b2f_00004_4_crossover=class_pymoo_operators_crossover_pntx_SinglePointCrossover,cx_pb=0.0500,mut_pb=0.6000,pop_size=50_2023-08-15_12-44-06
5;65745.0;5.1642467975616455;False;;;1;98b2f_00005;0e568e99a10742f899a47e4e05dbd730;2023-08-15_12-44-23;1692096263;5.1642467975616455;43454;users.cfads.fh-bielefeld.de;10.134.17.12;5.1642467975616455;0;1;0.0065362453460693;none;GA;<class 'pymoo.operators.crossover.pntx.TwoPointCrossover'>;0.05;False;['ta033'];0.05;<class 'custom_ga_operators.FlipMutation'>;3000;4;[1];multi_threading;False;20;4;False;False;<class 'permutation_flow_shop_default.PFSSP'>;<pymoo.operators.sampling.rnd.PermutationRandomSampling object at 0x7f1b741330a0>;;/home/voll_lu/ray_results/objective_2023-08-15_12-43-34/objective_98b2f_00005_5_crossover=class_pymoo_operators_crossover_pntx_TwoPointCrossover,cx_pb=0.0500,mut_pb=0.0500,pop_size=20,pr_2023-08-15_12-44-12
6;54763.0;13.488964796066284;False;;;1;98b2f_00006;9550dc3554224b2683124c4043a21038;2023-08-15_12-44-38;1692096278;13.488964796066284;43738;users.cfads.fh-bielefeld.de;10.134.17.12;13.488964796066284;0;1;0.0067617893218994;none;GA;<class 'pymoo.operators.crossover.ux.UniformCrossover'>;0.05;False;['ta033'];0.05;<class 'custom_ga_operators.FlipMutation'>;3000;4;[1];multi_threading;False;50;4;False;False;<class 'permutation_flow_shop_default.PFSSP'>;<pymoo.operators.sampling.rnd.PermutationRandomSampling object at 0x7f1b74133820>;;/home/voll_lu/ray_results/objective_2023-08-15_12-43-34/objective_98b2f_00006_6_crossover=class_pymoo_operators_crossover_ux_UniformCrossover,cx_pb=0.0500,mut_pb=0.0500,pop_size=50,press_2023-08-15_12-44-18
7;66025.0;6.905466556549072;False;;;1;98b2f_00007;26bd987b129b41aaa8350fca4e6c1a23;2023-08-15_12-44-38;1692096278;6.905466556549072;44053;users.cfads.fh-bielefeld.de;10.134.17.12;6.905466556549072;0;1;0.0065321922302246;none;GA;<class 'pymoo.operators.crossover.pntx.SinglePointCrossover'>;0.6;False;['ta033'];0.05;<class 'custom_ga_operators.FlipMutation'>;3000;4;[1];multi_threading;False;20;2;False;False;<class 'permutation_flow_shop_default.PFSSP'>;<pymoo.operators.sampling.rnd.PermutationRandomSampling object at 0x7f1b74133fa0>;;/home/voll_lu/ray_results/objective_2023-08-15_12-43-34/objective_98b2f_00007_7_crossover=class_pymoo_operators_crossover_pntx_SinglePointCrossover,cx_pb=0.6000,mut_pb=0.0500,pop_size=20_2023-08-15_12-44-24
8;71555.0;72.29521250724792;False;;;1;98b2f_00008;a54e8b58b5954c74badd6008bc761166;2023-08-15_12-45-50;1692096350;72.29521250724792;44336;users.cfads.fh-bielefeld.de;10.134.17.12;72.29521250724792;0;1;0.0069942474365234;none;GA;<class 'pymoo.operators.crossover.ux.UniformCrossover'>;0.95;False;['ta033'];0.05;<class 'custom_ga_operators.FlipMutation'>;3000;4;[1];multi_threading;False;10;4;False;False;<class 'permutation_flow_shop_default.PFSSP'>;<pymoo.operators.sampling.rnd.PermutationRandomSampling object at 0x7f1b74137760>;;/home/voll_lu/ray_results/objective_2023-08-15_12-43-34/objective_98b2f_00008_8_crossover=class_pymoo_operators_crossover_ux_UniformCrossover,cx_pb=0.9500,mut_pb=0.0500,pop_size=10,press_2023-08-15_12-44-31
9;65746.0;61.82759666442871;False;;;1;98b2f_00009;590eef90d4c84529a1ec8296b984393d;2023-08-15_12-45-45;1692096345;61.82759666442871;44619;users.cfads.fh-bielefeld.de;10.134.17.12;61.82759666442871;0;1;0.0070855617523193;none;GA;<class 'pymoo.operators.crossover.pntx.SinglePointCrossover'>;0.05;False;['ta033'];0.6;<class 'custom_ga_operators.FlipMutation'>;3000;4;[1];multi_threading;False;50;10;False;False;<class 'permutation_flow_shop_default.PFSSP'>;<pymoo.operators.sampling.rnd.PermutationRandomSampling object at 0x7f1b74137ee0>;;/home/voll_lu/ray_results/objective_2023-08-15_12-43-34/objective_98b2f_00009_9_crossover=class_pymoo_operators_crossover_pntx_SinglePointCrossover,cx_pb=0.0500,mut_pb=0.6000,pop_size=50_2023-08-15_12-44-37
